"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","45,120.40","45,868.80","49,054.40","45,105.90","68.60M","-1.63%"
"Dec 15","43,350.00","45,121.10","47,142.40","43,137.00","66.35M","-3.92%"
"Jan 16","40,406.00","43,348.90","43,348.90","37,046.10","72.21M","-6.79%"
"Feb 16","42,793.90","40,396.50","43,601.30","38,596.20","71.70M","5.91%"
"Mar 16","50,055.30","42,795.20","52,261.90","42,795.20","125.12M","16.97%"
"Apr 16","53,910.50","50,054.40","54,977.70","47,873.70","91.66M","7.70%"
"May 16","48,471.70","53,909.50","54,112.80","48,291.50","81.20M","-10.09%"
"Jun 16","51,526.90","48,468.20","51,811.60","48,066.70","81.39M","6.30%"
"Jul 16","57,308.20","51,540.20","57,473.80","50,825.00","77.32M","11.22%"
"Aug 16","57,901.10","57,309.20","59,417.90","55,695.50","83.45M","1.03%"
"Sep 16","58,367.00","57,901.50","60,310.50","56,459.10","70.19M","0.80%"
"Oct 16","64,924.50","58,370.20","65,054.40","58,366.50","76.62M","11.23%"
"Nov 16","61,906.40","64,921.90","65,291.10","58,322.30","85.58M","-4.65%"
"Dec 16","60,227.30","61,906.40","61,935.70","56,828.60","65.99M","-2.71%"
"Jan 17","64,670.80","60,227.30","66,593.60","59,370.90","61.91M","7.38%"
"Feb 17","66,662.10","64,686.90","69,487.60","63,740.00","58.53M","3.08%"
"Mar 17","64,984.10","66,661.30","67,397.90","62,496.20","75.97M","-2.52%"
"Apr 17","65,403.20","64,989.20","66,211.20","62,826.30","56.79M","0.64%"
"May 17","62,711.50","65,404.00","68,791.90","60,314.70","89.45M","-4.12%"
"Jun 17","62,900.00","62,711.50","63,636.60","60,543.60","67.37M","0.30%"
"Jul 17","65,920.40","62,900.90","66,048.00","62,035.10","55.45M","4.80%"
"Aug 17","70,835.10","65,925.10","71,505.70","65,925.10","70.27M","7.46%"
"Sep 17","74,293.50","70,848.20","76,419.60","70,846.00","71.06M","4.88%"
"Oct 17","74,308.50","74,294.50","78,024.10","73,845.20","67.89M","0.02%"
"Nov 17","71,971.00","74,310.30","75,199.30","70,824.90","67.18M","-3.15%"
"Dec 17","76,402.10","71,955.30","76,436.90","71,356.40","56.34M","6.16%"
"Jan 18","84,912.70","76,402.60","86,212.80","76,402.60","74.06M","11.14%"
"Feb 18","85,353.60","84,912.90","88,317.80","79,690.10","73.81M","0.52%"
"Mar 18","85,365.60","85,337.20","87,333.20","82,889.40","72.31M","0.01%"
"Apr 18","86,115.50","85,364.80","87,178.70","82,762.00","66.97M","0.88%"
"May 18","76,753.60","86,110.80","86,678.20","75,336.90","99.40M","-10.87%"
"Jun 18","72,762.50","76,779.40","78,892.00","69,068.80","96.20M","-5.20%"
"Jul 18","79,220.40","72,762.50","80,588.70","71,934.70","71.74M","8.88%"
"Aug 18","76,677.50","79,213.00","81,792.10","74,875.80","83.19M","-3.21%"
"Sep 18","79,342.40","76,675.50","80,106.90","74,274.50","67.45M","3.48%"
"Oct 18","87,423.60","79,350.40","88,377.20","78,090.70","124.90M","10.19%"
"Nov 18","89,504.00","87,427.60","90,245.50","84,030.40","90.78M","2.38%"
"Dec 18","87,887.30","89,511.20","91,242.20","83,891.70","82.22M","-1.81%"
"Jan 19","97,393.70","87,887.30","98,405.20","87,535.90","109.60M","10.82%"
"Feb 19","95,584.40","97,395.50","98,588.60","93,424.30","97.94M","-1.86%"
"Mar 19","95,414.60","95,584.40","100,438.90","91,584.30","89.38M","-0.18%"
"Apr 19","96,353.30","95,422.90","97,610.30","92,337.50","93.19M","0.98%"
"May 19","97,030.30","96,339.30","97,992.30","89,408.90","101.11M","0.70%"
"Jun 19","100,967.20","97,035.80","102,617.30","95,685.80","90.98M","4.06%"
"Jul 19","101,812.10","100,973.50","106,650.10","100,072.80","97.40M","0.84%"
"Aug 19","101,134.60","101,818.90","104,848.20","95,855.30","119.85M","-0.67%"
"Sep 19","104,745.30","101,132.50","106,001.40","99,406.20","97.54M","3.57%"
"Oct 19","107,219.80","104,745.10","108,407.50","99,826.30","103.19M","2.36%"
"Nov 19","108,233.30","107,220.90","109,671.90","105,260.80","95.99M","0.95%"
"Dec 19","115,645.30","108,233.30","117,802.90","108,190.50","99.88M","6.85%"
"Jan 20","113,760.60","115,652.00","119,593.10","112,825.50","122.06M","-1.63%"
"Feb 20","104,171.60","113,760.60","117,700.50","99,951.00","126.65M","-8.43%"
"Mar 20","73,019.76","104,259.51","108,803.58","61,690.53","11.14M","-29.90%"
"Apr 20","80,505.89","73,010.78","83,598.01","67,802.47","11.80M","10.25%"
"May 20","87,402.59","80,501.17","88,090.67","75,696.95","16.55M","8.57%"
"Jun 20","95,055.82","87,395.15","97,693.47","86,836.57","10.14M","8.76%"
"Jul 20","102,912.24","95,061.62","105,703.62","95,061.62","12.93M","8.27%"
"Aug 20","99,369.15","102,912.87","104,523.28","98,513.34","12.23M","-3.44%"
"Sep 20","94,603.38","99,382.02","103,225.58","93,408.17","9.49M","-4.80%"
"Oct 20","93,952.40","94,603.38","102,217.62","93,386.55","10.64M","-0.69%"
